order_id,order_date,customer_id,product_id,city,region,category,sub_category,sales,quantity,discount,profit
10001,2024-10-19,C2093,P2259,Bangalore,South,Books,Non-Fiction,68958.6,2,5,10525.09
10002,2025-08-30,C210,P2721,Delhi,North,Groceries,Rice,33732.0,1,20,6299.66
10003,2023-11-04,C3419,P1590,Patna,East,Kitchen,Juicer,207603.2,4,20,19850.27
10004,2025-05-23,C475,P2328,Kolkata,East,Groceries,Oil,158610.0,5,15,36311.02
10005,2025-01-19,C266,P1677,Pune,West,Clothing,Kids Wear,45033.3,1,10,9050.04
10006,2025-04-06,C4462,P555,Pune,West,Furniture,Chair,171219.75,5,15,23722.84
10007,2023-10-13,C1159,P38,Mumbai,West,Clothing,Accessories,6908.4,2,5,680.26
10008,2025-08-17,C2635,P316,Lucknow,North,Books,Biography,14296.5,1,10,1289.03
10009,2025-03-07,C596,P3093,Jaipur,North,Groceries,Spices,32667.2,1,20,3700.89
10010,2024-12-02,C2384,P1618,Goa,West,Kitchen,Juicer,28366.2,2,15,5703.09
10011,2025-08-24,C1118,P783,Lucknow,North,Kitchen,Cookware Set,17217.6,2,20,4139.82
10012,2024-05-21,C2893,P2419,Hyderabad,South,Beauty,Perfume,73078.2,3,10,16216.55
10013,2024-12-05,C469,P3507,Chandigarh,North,Home Decor,Vase,51253.45,1,5,6826.05
10014,2023-12-03,C327,P3726,Patna,East,Clothing,Women's Wear,119215.0,5,0,21029.48
10015,2025-07-25,C427,P1545,Jaipur,North,Kitchen,Juicer,29343.6,2,5,5535.44
10016,2023-10-13,C4069,P1820,Bhubaneswar,East,Electronics,Laptop,232402.5,5,10,35657.72
10017,2024-05-24,C3487,P2905,Hyderabad,South,Electronics,Smartwatch,134362.05,3,15,26225.16
10018,2025-09-07,C897,P2360,Chennai,South,Groceries,Oil,13590.0,4,10,1234.71
10019,2024-06-15,C3808,P1129,Patna,East,Sports,Dumbbells,39789.6,3,20,4240.62
10020,2024-01-11,C1386,P3398,Pune,West,Books,Textbook,172866.75,5,5,39437.91
10021,2023-10-15,C1946,P2615,Ahmedabad,West,Kitchen,Refrigerator,5259.2,1,20,580.75
10022,2024-03-16,C2083,P3639,Lucknow,North,Groceries,Wheat,113738.5,5,15,27267.31
10023,2023-11-02,C4593,P689,Surat,West,Books,Comics,38159.2,1,20,8535.56
10024,2025-07-10,C2770,P1209,Ranchi,East,Beauty,Face Cream,25431.3,1,10,3959.79
10025,2025-06-21,C2344,P1496,Chandigarh,North,Electronics,Headphones,96224.0,5,20,20551.56
10026,2024-01-13,C985,P2712,Chennai,South,Groceries,Rice,124936.4,2,5,19544.76
10027,2025-04-22,C2243,P1421,Lucknow,North,Beauty,Foundation,8276.0,1,0,537.47
10028,2024-12-12,C481,P3234,Bhubaneswar,East,Furniture,Table,2193.0,3,0,214.1
10029,2025-08-27,C2098,P2532,Delhi,North,Toys,RC Car,107336.0,2,20,22034.77
10030,2024-04-22,C199,P3162,Chandigarh,North,Groceries,Sugar,337675.25,5,15,80309.87
10031,2025-01-07,C4789,P3613,Goa,West,Groceries,Wheat,45981.0,2,10,9818.01
10032,2023-12-11,C746,P924,Jaipur,North,Sports,Cricket Bat,291243.4,4,5,40522.22
10033,2024-06-24,C2114,P2990,Ahmedabad,West,Furniture,Sofa,193795.2,4,20,21970.55
10034,2025-07-11,C2545,P2587,Guwahati,East,Toys,RC Car,61056.0,4,20,10008.03
10035,2023-12-31,C3945,P111,Thiruvananthapuram,South,Toys,Action Figure,77233.6,2,20,13625.93
10036,2025-03-08,C1566,P1852,Thiruvananthapuram,South,Beauty,Lipstick,24588.8,4,15,4643.94
10037,2024-12-02,C3150,P1121,Surat,West,Sports,Dumbbells,156934.0,2,0,9444.77
10038,2023-10-19,C586,P3817,Lucknow,North,Sports,Yoga Mat,129671.2,4,5,8392.19
10039,2025-09-30,C3853,P2464,Ranchi,East,Toys,Puzzle,121814.0,2,0,24378.77
10040,2023-11-16,C4197,P2645,Lucknow,North,Kitchen,Refrigerator,40959.0,5,10,7785.75
10041,2024-09-18,C2913,P334,Guwahati,East,Toys,Board Game,307128.0,5,20,47122.1
10042,2025-07-01,C2395,P1035,Amritsar,North,Toys,Doll,273405.25,5,5,26969.18
10043,2024-02-11,C693,P472,Surat,West,Electronics,Camera,137260.0,2,0,16783.04
10044,2024-10-23,C751,P2714,Coimbatore,South,Groceries,Rice,256420.0,5,20,61655.17
10045,2023-11-03,C1281,P3378,Guwahati,East,Books,Textbook,136404.0,2,0,33860.63
10046,2023-11-20,C3135,P273,Pune,West,Books,Biography,30775.95,1,15,5230.85
10047,2025-10-01,C220,P2443,Delhi,North,Beauty,Perfume,150776.1,3,10,23835.95
10048,2025-09-03,C1067,P3356,Surat,West,Sports,Tennis Racket,287432.0,5,5,41217.09
10049,2025-01-22,C2848,P2476,Delhi,North,Toys,Puzzle,63750.6,1,10,4232.48
10050,2024-04-28,C3983,P2837,Ahmedabad,West,Clothing,Shoes,33485.0,1,0,6131.25
10051,2024-05-04,C4609,P2448,Patna,East,Beauty,Perfume,40698.0,5,5,3935.7
10052,2025-05-06,C1258,P3032,Ranchi,East,Furniture,Sofa,245651.0,4,5,51927.61
10053,2025-09-02,C1216,P265,Goa,West,Books,Biography,64880.0,5,0,11967.13
10054,2024-04-15,C1844,P3723,Pune,West,Clothing,Women's Wear,66475.2,3,20,8946.95
10055,2023-12-09,C799,P3309,Bhubaneswar,East,Sports,Tennis Racket,48043.7,2,15,10879.68
10056,2024-05-19,C320,P203,Jaipur,North,Furniture,Bed,212310.0,5,0,11609.02
10057,2023-12-05,C3420,P3551,Patna,East,Home Decor,Wall Art,251704.0,4,0,40267.43
10058,2024-10-16,C3736,P2522,Patna,East,Toys,Puzzle,249808.2,4,15,56964.33
10059,2024-10-09,C2956,P445,Pune,West,Furniture,Cabinet,74526.3,3,15,17899.47
