product_id,product_name,category,sub_category
P2259,Non-Fiction Ipsum,Books,Non-Fiction
P2721,Rice Nemo,Groceries,Rice
P1590,Juicer Odio,Kitchen,Juicer
P2328,Oil Doloribus,Groceries,Oil
P1677,Kids Wear Quo,Clothing,Kids Wear
P555,Chair Assumenda,Furniture,Chair
P38,Accessories Minima,Clothing,Accessories
P316,Biography Vel,Books,Biography
P3093,Spices Expedita,Groceries,Spices
P1618,Juicer Voluptatibus,Kitchen,Juicer
P783,Cookware Set Doloremque,Kitchen,Cookware Set
P2419,Perfume Itaque,Beauty,Perfume
P3507,Vase Ratione,Home Decor,Vase
P3726,Women's Wear Optio,Clothing,Women's Wear
P1545,Juicer Debitis,Kitchen,Juicer
P1820,Laptop Numquam,Electronics,Laptop
P2905,Smartwatch Ad,Electronics,Smartwatch
P2360,Oil Odio,Groceries,Oil
P1129,Dumbbells Soluta,Sports,Dumbbells
P3398,Textbook Inventore,Books,Textbook
P2615,Refrigerator Commodi,Kitchen,Refrigerator
P3639,Wheat Natus,Groceries,Wheat
P689,Comics Aperiam,Books,Comics
P1209,Face Cream Repellat,Beauty,Face Cream
P1496,Headphones Itaque,Electronics,Headphones
P2712,Rice Impedit,Groceries,Rice
P1421,Foundation Illo,Beauty,Foundation
P3234,Table Error,Furniture,Table
P2532,RC Car Amet,Toys,RC Car
P3162,Sugar Excepturi,Groceries,Sugar
P3613,Wheat Consequuntur,Groceries,Wheat
P924,Cricket Bat Voluptatum,Sports,Cricket Bat
P2990,Sofa Deleniti,Furniture,Sofa
P2587,RC Car Quam,Toys,RC Car
P111,Action Figure Laboriosam,Toys,Action Figure
P1852,Lipstick Accusantium,Beauty,Lipstick
P1121,Dumbbells Quas,Sports,Dumbbells
P3817,Yoga Mat Quaerat,Sports,Yoga Mat
P2464,Puzzle Assumenda,Toys,Puzzle
P2645,Refrigerator Libero,Kitchen,Refrigerator
P334,Board Game Consequuntur,Toys,Board Game
P1035,Doll Laborum,Toys,Doll
P472,Camera A,Electronics,Camera
P2714,Rice Incidunt,Groceries,Rice
P3378,Textbook Consequuntur,Books,Textbook
P273,Biography Magni,Books,Biography
P2443,Perfume Quisquam,Beauty,Perfume
P3356,Tennis Racket Sapiente,Sports,Tennis Racket
P2476,Puzzle Dolorem,Toys,Puzzle
P2837,Shoes Deleniti,Clothing,Shoes
P2448,Perfume Rerum,Beauty,Perfume
P3032,Sofa Omnis,Furniture,Sofa
P265,Biography Illum,Books,Biography
P3723,Women's Wear Odio,Clothing,Women's Wear
P3309,Tennis Racket Ea,Sports,Tennis Racket
P203,Bed Molestias,Furniture,Bed
P3551,Wall Art Excepturi,Home Decor,Wall Art
P2522,Puzzle Ut,Toys,Puzzle
P445,Cabinet Odit,Furniture,Cabinet
P3488,Vase Necessitatibus,Home Decor,Vase
P1333,Football Eveniet,Sports,Football
P818,Cookware Set Nisi,Kitchen,Cookware Set
P1610,Juicer Totam,Kitchen,Juicer
P85,Action Figure Cum,Toys,Action Figure
P284,Biography Nobis,Books,Biography
P1613,Juicer Vero,Kitchen,Juicer
P2135,Mixer Grinder Recusandae,Kitchen,Mixer Grinder
P239,Biography Ad,Books,Biography
P3485,Vase Molestiae,Home Decor,Vase
P3292,Tennis Racket At,Sports,Tennis Racket
P3323,Tennis Racket Ipsa,Sports,Tennis Racket
P2550,RC Car Eius,Toys,RC Car
P981,Cushion Quis,Home Decor,Cushion
P2498,Puzzle Nesciunt,Toys,Puzzle
P128,Action Figure Placeat,Toys,Action Figure
P1626,Kids Wear Aut,Clothing,Kids Wear
P807,Cookware Set Libero,Kitchen,Cookware Set
P518,Camera Nostrum,Electronics,Camera
P2668,Refrigerator Sequi,Kitchen,Refrigerator
P1857,Lipstick At,Beauty,Lipstick
P441,Cabinet Nobis,Furniture,Cabinet
P3776,Yoga Mat Deserunt,Sports,Yoga Mat
P3302,Tennis Racket Cupiditate,Sports,Tennis Racket
P3513,Vase Similique,Home Decor,Vase
P436,Cabinet Natus,Furniture,Cabinet
P385,Board Game Sequi,Toys,Board Game
P2353,Oil Modi,Groceries,Oil
P3290,Tennis Racket Aperiam,Sports,Tennis Racket
P760,Comics Voluptatibus,Books,Comics
P1650,Kids Wear Ipsa,Clothing,Kids Wear
P1891,Lipstick Nostrum,Beauty,Lipstick
P503,Camera Ipsa,Electronics,Camera
P3038,Sofa Quaerat,Furniture,Sofa
P2441,Perfume Qui,Beauty,Perfume
P541,Camera Temporibus,Electronics,Camera
P3129,Spices Reiciendis,Groceries,Spices
P2359,Oil Non,Groceries,Oil
P1269,Fiction Nemo,Books,Fiction
P3813,Yoga Mat Optio,Sports,Yoga Mat
P2183,Mobile Harum,Electronics,Mobile
P40,Accessories Natus,Clothing,Accessories
P1122,Dumbbells Quos,Sports,Dumbbells
P3048,Sofa Repudiandae,Furniture,Sofa
P1064,Doll Totam,Toys,Doll
P1744,Lamp Pariatur,Home Decor,Lamp
P3251,Table Laudantium,Furniture,Table
P1074,Dumbbells Aspernatur,Sports,Dumbbells
P1624,Kids Wear Architecto,Clothing,Kids Wear
P211,Bed Officiis,Furniture,Bed
P2562,RC Car Incidunt,Toys,RC Car
P485,Camera Dignissimos,Electronics,Camera
P2070,Microwave Vero,Kitchen,Microwave
P3274,Table Repudiandae,Furniture,Table
P939,Cushion Dignissimos,Home Decor,Cushion
P339,Board Game Earum,Toys,Board Game
P1570,Juicer In,Kitchen,Juicer
P1907,Lipstick Soluta,Beauty,Lipstick
P2000,Microwave Aperiam,Kitchen,Microwave
P2061,Microwave Reiciendis,Kitchen,Microwave
P3831,Yoga Mat Vel,Sports,Yoga Mat
P1332,Football Eum,Sports,Football
P1784,Laptop Amet,Electronics,Laptop
P3108,Spices Non,Groceries,Spices
P2885,Shoes Recusandae,Clothing,Shoes
P1547,Juicer Deleniti,Kitchen,Juicer
P1268,Fiction Necessitatibus,Books,Fiction
P2348,Oil Laboriosam,Groceries,Oil
P955,Cushion Id,Home Decor,Cushion
P3267,Table Placeat,Furniture,Table
P3087,Spices Error,Groceries,Spices
P1489,Headphones Id,Electronics,Headphones
P3708,Women's Wear Ipsa,Clothing,Women's Wear
P2503,Puzzle Placeat,Toys,Puzzle
P3028,Sofa Nulla,Furniture,Sofa
P481,Camera Culpa,Electronics,Camera
P1004,Doll Adipisci,Toys,Doll
P326,Board Game Animi,Toys,Board Game
P157,Bed Accusantium,Furniture,Bed
P2157,Mobile Aspernatur,Electronics,Mobile
P2282,Non-Fiction Quae,Books,Non-Fiction
P1687,Kids Wear Tempora,Clothing,Kids Wear
P2175,Mobile Ea,Electronics,Mobile
P471,Cabinet Voluptatum,Furniture,Cabinet
P3291,Tennis Racket Asperiores,Sports,Tennis Racket
P1321,Football Dolores,Sports,Football
P3279,Table Tenetur,Furniture,Table
P2926,Smartwatch Eum,Electronics,Smartwatch
P2128,Mixer Grinder Porro,Kitchen,Mixer Grinder
P1604,Juicer Reiciendis,Kitchen,Juicer
P2235,Non-Fiction Commodi,Books,Non-Fiction
P2511,Puzzle Repellendus,Toys,Puzzle
P3133,Spices Suscipit,Groceries,Spices
P2045,Microwave Officiis,Kitchen,Microwave
P835,Cookware Set Quo,Kitchen,Cookware Set
P651,Clock Itaque,Home Decor,Clock
P1435,Foundation Nihil,Beauty,Foundation
P99,Action Figure Enim,Toys,Action Figure
P2561,RC Car In,Toys,RC Car
P1623,Kids Wear Aliquid,Clothing,Kids Wear
P1497,Headphones Labore,Electronics,Headphones
P664,Clock Officia,Home Decor,Clock
P2992,Sofa Dolor,Furniture,Sofa
P278,Biography Mollitia,Books,Biography
P1593,Juicer Possimus,Kitchen,Juicer
P978,Cushion Quasi,Home Decor,Cushion
P688,Comics Ad,Books,Comics
P3239,Table Expedita,Furniture,Table
P1141,Dumbbells Voluptatem,Sports,Dumbbells
P3610,Wheat Beatae,Groceries,Wheat
P3307,Tennis Racket Doloremque,Sports,Tennis Racket
P1351,Football Nesciunt,Sports,Football
P2124,Mixer Grinder Officia,Kitchen,Mixer Grinder
P1982,Men's Wear Quos,Clothing,Men's Wear
P90,Action Figure Dolor,Toys,Action Figure
P180,Bed Eius,Furniture,Bed
P1170,Face Cream Id,Beauty,Face Cream
P474,Camera At,Electronics,Camera
P321,Board Game Ab,Toys,Board Game
P394,Cabinet A,Furniture,Cabinet
P251,Biography Deserunt,Books,Biography
P2345,Oil In,Groceries,Oil
