customer_id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,segment
C1,643,1,158876.8,1,1,3,5,At Risk
C10,720,1,14384.0,1,1,1,3,Hibernating
C100,213,1,77549.4,3,1,2,6,Potential Loyalist
C1000,566,1,11985.2,1,1,1,3,Hibernating
C1001,59,2,203579.4,4,4,4,12,Champions
C1002,429,1,45081.45,2,1,2,5,At Risk
C1003,200,1,2715.75,3,1,1,5,At Risk
C1004,214,1,214100.0,3,1,4,8,Loyal
C1005,301,1,87735.6,3,1,3,7,Potential Loyalist
C1006,471,1,87190.2,2,1,3,6,Potential Loyalist
C1007,575,1,294129.75,1,1,4,6,Potential Loyalist
C1008,696,1,167524.0,1,1,4,6,Potential Loyalist
C1009,222,1,228886.4,3,1,4,8,Loyal
C101,729,1,7530.15,1,1,1,3,Hibernating
C1010,305,1,114937.0,3,1,3,7,Potential Loyalist
C1011,339,1,79804.8,3,1,2,6,Potential Loyalist
C1012,160,1,24807.6,4,1,1,6,Potential Loyalist
C1013,625,1,147611.85,1,1,3,5,At Risk
C1014,528,1,71520.0,2,1,2,5,At Risk
C1015,706,1,1242.7,1,1,1,3,Hibernating
C1016,256,1,25947.2,3,1,1,5,At Risk
C1017,244,1,184247.7,3,1,4,8,Loyal
C1018,242,1,59052.8,3,1,2,6,Potential Loyalist
C1019,731,1,61466.0,1,1,2,4,At Risk
C102,544,1,15988.5,1,1,1,3,Hibernating
C1020,438,1,39654.4,2,1,1,4,At Risk
C1021,551,1,43020.0,1,1,2,4,At Risk
C1022,332,1,87478.0,3,1,3,7,Potential Loyalist
C1023,477,1,40736.95,2,1,1,4,At Risk
C1024,303,1,136582.2,3,1,3,7,Potential Loyalist
C1025,581,1,175556.0,1,1,4,6,Potential Loyalist
C1026,456,1,7294.4,2,1,1,4,At Risk
C1027,298,1,133798.5,3,1,3,7,Potential Loyalist
C1028,127,1,158652.0,4,1,3,8,Loyal
C1029,135,1,189768.0,4,1,4,9,Loyal
C103,7,1,98286.0,4,1,3,8,Loyal
C1030,342,1,63873.25,3,1,2,6,Potential Loyalist
C1031,187,1,28401.0,3,1,1,5,At Risk
C1032,612,1,142589.7,1,1,3,5,At Risk
C1033,99,1,7275.15,4,1,1,6,Potential Loyalist
